run,run_dir,final_lattice_code,nframes,final_crystal_shape,BC_spatial_distribution,use_anneal,other_notes,gr_messiness,weird_features
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_9_chn_num_3_linker_8,chain_len,fluid,136,mixture BCT/BCC and FCC (?),"",rerun,"mutiple regions, at least one is (name AC and z >0 and x <0)","",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",no,pristine,no
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC polycrystal,136,SC polycrystal,"","","mutiple regions, at least one is (name AC and z >0 and x <0)","",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture SC/BCC/BCT,136,mixture SC/BCC/BCT,"","","mutiple regions, at least one is (name AC and z >0 and x <0)","",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,jammed/glass,136,jammed/glass,homogenous,"",none,"first two peaks are crystaline, rest is fluid like",there are vague ordered sections
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_10,chain_len,FCC,129,FCC,interlocked hexes,"",FCC peaks,almost pristine with broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,136,fluid,homogenous,"",none,"first two peaks are crystaline, rest is fluid like",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,136,FCC,vague interlocking hexes,"no, not many frames",FCC peaks,crystal like but broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_10,chain_len,lattice no ID,136,lattice no ID,offset interlocking hexes biased towards square interiors,"","triclinic box, maybe BCT","almost pristine, broad peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_12,chain_len,FCC,136,FCC,interlocked hexes,"",FCC peaks; coord num 12,prisitine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_6,chain_len,BCC,136,BCC,messy interlocking hexes,"",triclinic box,"messy, broad peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_8,chain_len,coexistance BCC/FCC,136,coexistance BCC/FCC,"","","","",""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_10_chn_num_3_linker_10,chain_len,FCC,108,FCC,messy interlocking hexes,"",none,"FCC peaks, broad peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,136,fluid,homogenous,"",none,fluid like,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,136,FCC,messy interlocking hexes,"no, not many frames",FCC peaks,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,136,FCC,interlocking hexes,"",FCC peaks,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_12,chain_len,FCC,136,FCC,interlocked hexes,"",FCC peaks,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_6,chain_len,coexistance BCC/FCC,136,coexistance BCC/FCC,messy interlocking hexes,"",none,very broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,very messy mixture BCT/FCC,136,very messy mixture BCT/FCC,"","","",very broad and overlapping peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,136,FCC,interlocked hexes,"",none,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_8_chn_num_3_linker_12,chain_len,mixture,136,mixture,warpped interlocked hexes,"",none,"almost pristine, overlapping peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,136,FCC,messy interlocking hexes,yes,FCC peaks,"almost pristine, broad peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",triclinic box,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",triclinic box,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",triclinic box,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares - mostly very neat but one strip of messier,"",none,pristine,stripe of messier squares
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,localized - aligned Xs or neigboring hexes?,yes,BCC peaks but looks hexy?,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,jammed,136,jammed,decloalized,"",none,two clear peaks then liquidy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.9_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,localized - aligned Xs or neigboring hexes?,"",BCC peaks but looks hexy?,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,134,mixture,"","","mutiple regions, looks like liqud and lattice (visually looks like FCC??) regions","",""
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,133,mixture,messy corsses and very messy regions,"","coord num of first and second nearest neughbors 13.4, stabilizes at frame 60",broad peaks,"stabilizes at frame 60, localized sublattice regions and very messy ones"
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,116,fluid,delocalized,"",none,messy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,108,FCC,very messy crosses,"",coord num 12,"FCC peaks, broad peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_12_chn_num_3_linker_10,chain_len,FCC with a lot of defects,111,FCC with a lot of defects,very messy Xs,"",coord num 11.8,"FCCish peaks, very broad peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_12_chn_num_3_linker_8,chain_len,FCC,142,FCC,very messy Xs,"",coord num 12,"FCCish peaks, broad peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_10,chain_len,BCC,133,BCC,"localized, offset hexes/stacked Xs","",BCC peak values but looks hex-y or FCC-like from certain angles,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,136,mixture,localized into slanted lines,"","vaguely BCC, but hard to say",broad peaks,weird stripe things looking down X axis
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,110,FCC,messy-ish crosses,"",none,"FCC peaks, almost pristine",none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_6,chain_len,BCC,136,BCC,"mostly delocalized, maybe messes interlocking hexes","",none,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_10,chain_len,FCC,137,FCC,messy Xs,"",coord num 12.Maybe should run longer,"FCC peaks, broad peaks",messier region in the middle (large cross-like)
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,121,fluid,delocalized,"",none,liquidy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_10,chain_len,BCC polycrystal,129,BCC polycrystal,very locatlized,"","","",stripes/mixture
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,very locatlized; aligned Xs and neighboring,"",none,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,103,FCC,"localized, slightly messy Xs","",none,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_6,chain_len,"liquid/BCC
",136,"liquid/BCC
",delocalized,"",none,liquidy,none
